"","row","column","cor","p"
"1712","timedelta","shares",2.43646334856749,1.22370085842149e-06
"1713","n_tokens_title","shares",1.83743387460709,0.000253526038577423
"1714","n_tokens_content","shares",0.0653896597214043,0.896414555833173
"1715","n_unique_tokens","shares",1.32432365790009,0.00836756385449533
"1716","n_non_stop_words","shares",NA,NA
"1717","n_non_stop_unique_tokens","shares",4.42600175738335,0
"1718","num_hrefs","shares",9.71867069602013,0
"1719","num_self_hrefs","shares",0.349684013053775,0.486285392915714
"1720","num_imgs","shares",10.6494955718517,0
"1721","num_videos","shares",5.7744100689888,0
"1722","average_token_length","shares",5.02408258616924,0
"1723","num_keywords","shares",5.44451624155045,0
"1724","data_channel_is_lifestyle","shares",2.86102704703808,1.21562275801068e-08
"1725","data_channel_is_entertainment","shares",5.35626634955406,0
"1726","data_channel_is_bus","shares",4.56703118979931,0
"1727","data_channel_is_socmed","shares",5.7716216892004,0
"1728","data_channel_is_tech","shares",2.08571311086416,3.2794012188031e-05
"1729","data_channel_is_world","shares",12.2940488159657,0
"1730","kw_min_min","shares",1.04661490768194,0.0371705848495483
"1731","kw_max_min","shares",6.20681792497635,0
"1732","kw_avg_min","shares",5.56567683815956,0
"1733","kw_min_max","shares",6.28231912851334,0
"1734","kw_max_max","shares",0.589856505393982,0.240224941052
"1735","kw_avg_max","shares",5.92999383807182,0
"1736","kw_min_avg","shares",9.23871919512749,0
"1737","kw_max_avg","shares",21.383011341095,0
"1738","kw_avg_avg","shares",24.7747629880905,0
"1739","self_reference_min_shares","shares",16.3389280438423,0
"1740","self_reference_max_shares","shares",14.8678869009018,0
"1741","self_reference_avg_sharess","shares",17.6519647240639,0
"1742","weekday_is_monday","shares",0.017606615438126,0.97203582297937
"1743","weekday_is_tuesday","shares",2.08669994026423,3.25133765852748e-05
"1744","weekday_is_wednesday","shares",2.56213843822479,3.35906031434519e-07
"1745","weekday_is_thursday","shares",2.06400919705629,3.95803324999555e-05
"1746","weekday_is_friday","shares",0.172133673913777,0.731808075859193
"1747","weekday_is_saturday","shares",5.43069466948509,0
"1748","weekday_is_sunday","shares",5.40361478924751,0
"1749","is_weekend","shares",7.94036909937859,0
"1750","LDA_00","shares",0.264777732081711,0.598070000974269
"1751","LDA_01","shares",2.7968168258667,2.55324559272907e-08
"1752","LDA_02","shares",13.8187095522881,0
"1753","LDA_03","shares",13.9680251479149,0
"1754","LDA_04","shares",1.1740486137569,0.0194063624701015
"1755","global_subjectivity","shares",10.307078063488,0
"1756","global_sentiment_polarity","shares",3.62135507166386,5.49116307979602e-13
"1757","global_rate_positive_words","shares",3.13682816922665,4.18367118726337e-10
"1758","global_rate_negative_words","shares",0.37358773406595,0.4569840190384
"1759","rate_positive_words","shares",0.317726051434875,0.526995102334605
"1760","rate_negative_words","shares",2.85031627863646,1.37734033067716e-08
"1761","avg_positive_polarity","shares",5.16295693814754,0
"1762","min_positive_polarity","shares",0.309428060427308,0.537842972099647
"1763","max_positive_polarity","shares",4.36378307640553,0
"1764","avg_negative_polarity","shares",3.78413014113903,4.79616346638068e-14
"1765","min_negative_polarity","shares",2.69558150321245,7.96477492848169e-08
"1766","max_negative_polarity","shares",1.17177879437804,0.0196422691003164
"1767","title_subjectivity","shares",5.46070896089077,0
"1768","title_sentiment_polarity","shares",4.23559248447418,0
"1769","abs_title_subjectivity","shares",0.0387066334951669,0.938571374017372
"1770","abs_title_sentiment_polarity","shares",5.36513403058052,0
